"MLS #","Cat","Status","Address","City","County","Beds","Baths","Structure Type","Status Contractual Search Date","Current Price","List Price","HOA Fee","Building Name","Lot Size Acres","Main Level Bedrooms","Main Level Full Baths","Main Level Half Baths","Municipality","Pool","Price/SqFt","RATIO Close Price By List Price","RATIO Close Price By Original List Price","Selling Office Name","Total SQFT","Year Built","Zip Code","Legal Subdivision","Age","Original List Price","Above Grade Finished SQFT","DOM","List Agent Full Name","Selling Agent Full Name","List Office Name"
"1000156331","RES","PND","901 Alfred St N","Alexandria","Alexandria City, VA","1","3/0","Detached","07/18/14","$1,450,000","$1,450,000.00","","","0.17","1","3","0","","No Pool","$483.33","","","RE/MAX Allegiance","4,000","1960","22314","","62","$1,700,000","3,000","159","Raymond A Gernhart","Raymond A Gernhart","RE/MAX Executives (RMAX203)"
"1000544441","RES","CLS","911 Princess St","Alexandria","Alexandria City, VA","2","2/1","Interior Row/Townhouse","09/11/17","$690,000","$699,000.00","","","0.02","0","0","1","","No Pool","$737.97","0.98712","0.98712","McEnearney Associates, Inc.","935","1900","22314","CARRIAGE WORKS","122","$699,000","935","10","Sharon Wildberger","Jennifer L Walker","TTR Sotheby's International Realty (TTRS6)"
"1000540443","RES","CLS","729 Fairfax St S","Alexandria","Alexandria City, VA","2","1/1","End of Row/Townhouse","09/11/17","$640,000","$649,900.00","","","0.02","0","0","1","","No Pool","$682.30","0.98477","0.98477","RE/MAX Preferred Prop., Inc.","938","1870","22314","","152","$649,900","938","52","Christina Z Rice","Kathryn Horner","RE/MAX Preferred Prop., Inc. (RMAX8)"
"1000535055","RES","CLS","1728 Carpenter Rd","Alexandria","Alexandria City, VA","4","3/1","End of Row/Townhouse","09/11/17","$990,000","$1,039,000.00","$180.00","","0.03","0","0","1","","Yes - Community","$320.60","0.95284","0.93484","Samson Properties","3,088","2006","22314","POTOMAC GREENS","16","$1,059,000","3,088","109","John A Ronveaux","Steven E Crime","Coldwell Banker Realty (CBRB54)"
"1000156287","RES","CLS","1200 Braddock Pl #510","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","09/12/17","$325,000","$335,000.00","","BRADDOCK PLACE","","1","1","0","","Yes - Community","$480.77","0.97015","0.97015","Coldwell Banker Realty","676","1990","22314","BRADDOCK PLACE","32","$335,000","676","15","Jeffery S McGlothlin","Alexander Cernik","McEnearney Associates, Inc. (MCE1)"
"1000156233","RES","CLS","820-A Washington St S #328","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","09/12/17","$259,900","$259,900.00","","BEARINGS SOUTH","","1","1","0","","No Pool","$383.33","1.00000","1.00000","Compass","678","1941","22314","BEARINGS SOUTH","81","$259,900","678","26","Shaun Murphy","Marian Marsten Rosaaen","RE/MAX Allegiance (RMAX127)"
"1000543749","RES","CLS","309 Holland Ln #323","Alexandria","Alexandria City, VA","2","2/0","Unit/Flat/Apartment","09/12/17","$514,000","$518,500.00","","ROYALTON AT KING STREET METRO","","2","2","0","","No Pool","$523.42","0.99132","0.99132","Coldwell Banker Realty","982","2006","22314","","16","$518,500","982","26","Christopher C Tapper","Ericka S Black","Redfin Corporation (REFC1)"
"1000535439","RES","CLS","616 Pitt St S","Alexandria","Alexandria City, VA","3","2/0","End of Row/Townhouse","09/12/17","$815,000","$834,500.00","","","0.06","0","0","0","","No Pool","$476.05","0.97663","0.94767","TTR Sotheby's International Realty","1,712","1950","22314","","72","$860,000","1,712","97","Mimi J Nun","Sharon Wildberger","Long & Foster Real Estate, Inc. (LNG81)"
"1000194515","RES","CLS","319 Queen St","Alexandria","Alexandria City, VA","2","2/0","Interior Row/Townhouse","09/14/17","$725,000","$699,990.00","","","0.05","0","1","0","","No Pool","","1.03573","1.03573","Coldwell Banker Residential Brokerage","","1800","22314","","222","$699,990","","24","Jill Riner","Jolee M Rubin","Long & Foster Real Estate, Inc. (LNG79)"
"1000156261","RES","CLS","532 Colecroft Ct #4-3","Alexandria","Alexandria City, VA","2","1/0","Unit/Flat/Apartment","09/15/17","$412,000","$410,000.00","","COLECROFT","","2","1","0","","No Pool","$471.94","1.00488","1.00488","RE/MAX Gateway, LLC","873","1987","22314","COLECROFT","35","$410,000","873","22","Terry M Belt","Robin M Butler","Keller Williams Realty (KWR21)"
"1000156189","RES","CLS","116 Moncure Dr","Alexandria","Alexandria City, VA","3","2/0","Detached","09/15/17","$625,000","$649,000.00","","","0.12","0","0","0","","No Pool","$543.48","0.96302","0.96302","RE/MAX Realty Services","1,725","1940","22314","GLENMORE","82","$649,000","1,150","16","Shoshanna Tanner","William M Ratnavale","Century 21 Redwood Realty (RDWG2)"
