"MLS #","Cat","Status","Address","City","County","Beds","Baths","Structure Type","Status Contractual Search Date","Current Price","List Price","HOA Fee","Building Name","Lot Size Acres","Main Level Bedrooms","Main Level Full Baths","Main Level Half Baths","Municipality","Pool","Price/SqFt","RATIO Close Price By List Price","RATIO Close Price By Original List Price","Selling Office Name","Total SQFT","Year Built","Zip Code","Legal Subdivision","Age","Original List Price","Above Grade Finished SQFT","DOM","List Agent Full Name","Selling Agent Full Name","List Office Name"
"VAAX2024796","RES","CLS","801 N Pitt St #306","Alexandria","Alexandria City, VA","0","1","Unit/Flat/Apartment","07/27/23","$200,000","$200,888.00","","PORT ROYAL","","0","1","","","No Pool","$526.32","0.99558","0.996","Samson Properties","380","1965","22314","PORT ROYAL","59","$200,888","380","15","Nathan Arnold","Abul Hosen","eXp Realty LLC (EXPY12)"
"VAAX2024534","RES","CLS","801 N Pitt St N #206","Alexandria","Alexandria City, VA","0","1/0","Unit/Flat/Apartment","08/18/23","$222,000","$228,000.00","","PORT ROYAL","","0","1","0","","No Pool","$584.21","0.97368","0.925","Long & Foster Real Estate, Inc.","380","1965","22314","PORT ROYAL","59","$240,000","380","25","Gary Hughes","Tiana C Hickman","Century 21 Redwood Realty (RDWG2)"
"VAAX2027202","RES","CLS","801 N Pitt St #603","Alexandria","Alexandria City, VA","0","1","Unit/Flat/Apartment","10/23/23","$223,000","$223,000.00","","PORT ROYAL","","0","1","","","No Pool","$586.84","1.00000","0.970","RE/MAX Gateway","405","1965","22314","PORT ROYAL","59","$230,000","380","25","Lilah Bross","John Rumcik","Century 21 Redwood Realty (RDWG2)"
"VAAX2027250","RES","CLS","801 Pitt St N #310","Alexandria","Alexandria City, VA","0","1/0","Unit/Flat/Apartment","10/18/23","$220,000","$215,000.00","","PORT ROYAL","","0","1","0","","No Pool","$572.92","1.02326","0.965","RE/MAX Allegiance","384","1965","22314","PORT ROYAL","59","$228,000","384","22","Tiana C Hickman","Irina Babb","Long & Foster Real Estate, Inc. (LNG183)"
"VAAX2025276","RES","CLS","801 N Pitt St #401","Alexandria","Alexandria City, VA","0","1","Unit/Flat/Apartment","08/03/23","$210,000","$216,000.00","","PORT ROYAL","","0","1","","","No Pool","$544.04","0.97222","0.972","KW Metro Center","386","1965","22314","PORT ROYAL","59","$216,000","386","24","Tiana C Hickman","Haywood A Barney","Long & Foster Real Estate, Inc. (LNG183)"
"VAAX2025022","RES","CLS","1016 Prince St #5","Alexandria","Alexandria City, VA","0","1","Unit/Flat/Apartment","08/14/23","$265,000","$265,000.00","","THE COURTS","","0","1","","","No Pool","$602.27","1.00000","1.000","McEnearney Associates, Inc.","440","1900","22314","THE COURTS","124","$265,000","440","16","Bret Nida","Hope L Peele","Redfin Corp (REFC3)"
"VAAX2027728","RES","CLS","820-A S Washington St #327","Alexandria","Alexandria City, VA","0","1","Unit/Flat/Apartment","10/25/23","$200,000","$209,900.00","","","","0","1","","","No Pool","$448.43","0.95283","0.953","Compass","446","1941","22314","","83","$209,900","446","14","Jennifer L Walker","Matthew K Allen","McEnearney Associates, Inc. (MCE1)"
"VAAX2027708","RES","CLS","719 S Saint Asaph St #201","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","10/24/23","$229,990","$229,990.00","","BEARINGS NORTH","","1","1","","","No Pool","$493.54","1.00000","0.979","Weichert, REALTORS","466","1942","22314","BEARINGS NORTH","82","$235,000","466","31","Rebecca M Miller","Daphne J Melillo","Piedmont Fine Properties (PDF1)"
"VAAX2026516","RES","CLS","1010 Prince St #2","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","09/20/23","$310,000","$318,000.00","","THE COURTS","","1","1","","","No Pool","$659.57","0.97484","0.975","Samson Properties","470","1900","22314","THE COURTS","124","$318,000","470","18","Betsy Gorman","Tonya E Lucas","RLAH @properties (RLAH3)"
"VAAX2028694","RES","CLS","719 S Saint Asaph St #306","Alexandria","Alexandria City, VA","1","1","Penthouse Unit/Flat/Apartment","12/07/23","$234,000","$235,000.00","","BEARINGS NORTH","","1","1","","","No Pool","$493.67","0.99574","0.996","Compass","474","1942","22314","BEARINGS NORTH","82","$235,000","474","15","Daniel Maldonado","Pia Taylor","Pearson Smith Realty, LLC (PSTH3)"
"VAAX2029194","RES","CLS","1312 King Street #101","Alexandria","Alexandria City, VA","0","1","Unit/Flat/Apartment","01/12/24","$424,900","$424,900.00","","NONE AVAILABLE","","0","1","","","No Pool","$863.62","1.00000","1.000","Compass","492","2023","22314","","1","$424,900","492","56","Timur Loynab","Karen Schiro","McWilliams/Ballard Inc. (MCWB1)"
"VAAX2026028","RES","CLS","410 Bashford Ln #202","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","09/08/23","$290,000","$269,900.00","","POTOMAC SHORES","","1","1","","","No Pool","$534.07","1.07447","1.074","Keller Williams Realty","543","1942","22314","POTOMAC SHORES","82","$269,900","543","5","Sue S Goodhart","Jean K Garrell","Compass (COMPS8)"
