,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
66670,2021-07-01,2021-09-30,90,neighborhood,1,87269,f,"Richmond, VA - Midlothian",Richmond,Virginia,VA,Single Family Residential,6,238000.0,-0.00823002396082928,0.12796208530805694,252474.5,0.10250873362445412,0.23792351066437845,171.09144542772864,-0.01025748501596502,0.09318740225816381,174.25319845668332,0.0036984231104959524,0.12612233355098426,71.0,0.014285714285714237,0.4791666666666667,22.0,0.0,0.8333333333333331,70.0,-0.014084507042253502,0.34615384615384626,17.0,-0.29166666666666663,0.3076923076923077,,,,11.5,3.0,5.5,1.0318881687859438,-0.017437211129032626,0.008832869077569638,0.732394366197183,-0.08189134808853114,0.19072769953051646,,,,0.4090909090909091,-0.1363636363636363,-0.3409090909090909,"Richmond, VA",40060,2022-01-09 14:29:56
209009,2021-07-01,2021-09-30,90,neighborhood,1,60852,f,"Norfolk, VA - Colonial Place",Norfolk,Virginia,VA,Single Family Residential,6,339900.0,0.07071979839344777,0.030312215822976718,362450.0,0.10840978593272176,0.11523076923076925,185.5,-0.003801899695095145,0.08751252155875065,177.68875611080935,-0.04570901336457889,0.0438662303007018,25.0,0.13636363636363644,0.5625,3.0,-0.5714285714285714,-0.5,22.0,-0.2666666666666667,0.0,11.0,-0.08333333333333337,0.10000000000000007,,,,15.0,0.0,-5.5,1.0206121036446518,-0.006586885405686305,0.010914650562361848,0.56,-0.030909090909090886,0.18500000000000005,,,,0.3333333333333333,-0.2380952380952381,-0.16666666666666669,"Virginia Beach, VA",47260,2022-01-09 14:29:56
229908,2021-07-01,2021-09-30,90,neighborhood,1,179926,f,"Norfolk, VA - Snug Harbor",Norfolk,Virginia,VA,Single Family Residential,6,290000.0,0.0,0.16232464929859725,260000.0,0.00038476337052717463,0.08786610878661083,178.30777967064168,0.0,0.19465625717775056,169.14749661705008,-0.010106416488906532,0.1211627464611873,23.0,0.0,0.04545454545454541,3.0,-0.25,-0.7,19.0,-0.24,-0.3448275862068966,9.0,0.8,0.5,,,,15.5,1.5,-4.0,1.0228015200480598,-6.577608531888046e-05,0.034165037538634764,0.6521739130434783,0.0,0.2885375494071146,,,,0.6666666666666666,0.4166666666666666,0.36666666666666653,"Virginia Beach, VA",47260,2022-01-09 14:29:56
235414,2021-07-01,2021-09-30,90,neighborhood,1,65905,f,"Hampton, VA - Wythe",Hampton,Virginia,VA,Single Family Residential,6,213500.0,-0.051111111111111114,0.024963994239078247,200000.0,-0.06976744186046513,-0.06976744186046513,144.53678631099845,0.03399393284021968,0.1808757864508419,144.97041420118344,0.0097496323894799,0.16925659058674605,90.0,0.011235955056179804,-0.09090909090909093,36.0,0.125,0.894736842105263,109.0,-0.0267857142857143,0.11224489795918367,49.0,-0.09259259259259256,-0.15517241379310345,,,,24.0,3.0,-11.5,1.0078006609387915,0.004530473320041528,0.014144423652940885,0.5555555555555556,0.027465667915106184,0.2727272727272728,,,,0.3611111111111111,-0.0763888888888889,-0.007309941520467822,"Virginia Beach, VA",47260,2022-01-09 14:29:56
321945,2021-07-01,2021-09-30,90,neighborhood,1,223055,f,"Poquoson, VA - Central Poquoson",Poquoson,Virginia,VA,Single Family Residential,6,392000.0,-0.037446286065070604,0.045333333333333226,375000.0,-0.007936507936507907,-0.10693022148130504,175.80759258566746,0.006070620207009103,0.06998925494595443,180.31791907514446,0.0496117677508412,0.08822438422738486,28.0,-0.06666666666666665,0.21739130434782614,5.0,-0.16666666666666666,-0.2857142857142857,20.0,-0.2,-0.2,12.0,0.0,-0.33333333333333337,,,,23.0,4.0,-29.0,1.0065313798586195,-0.0011558533891624645,0.020040322827365675,0.5,-0.033333333333333326,0.4130434782608696,,,,0.2,0.033333333333333354,-0.2285714285714285,"Virginia Beach, VA",47260,2022-01-09 14:29:56
351701,2021-07-01,2021-09-30,90,neighborhood,1,208318,f,"Manassas Park, VA - Bloom Crossing",Manassas Park,Virginia,VA,Single Family Residential,6,555000.0,0.004524886877828038,0.19354838709677424,549900.0,0.0,0.16999999999999993,200.4062288422478,-0.017669783510236514,0.20577747686752426,196.42857142857144,0.05519185306419328,0.21505485474920968,23.0,0.1499999999999999,0.3529411764705883,4.0,-0.5555555555555556,-0.4285714285714286,19.0,-0.17391304347826084,0.05555555555555558,3.0,-0.25,-0.25,,,,6.0,1.5,-23.0,1.0302402307227954,0.0006367068469519399,0.020495187119675014,0.6521739130434783,-0.047826086956521685,0.12276214833759592,,,,0.25,-0.1944444444444444,-0.3214285714285714,"Washington, DC",47894,2022-01-09 14:29:56
410428,2021-07-01,2021-09-30,90,neighborhood,1,180009,f,"Norfolk, VA - Estabrook",Norfolk,Virginia,VA,Single Family Residential,6,241250.0,-0.005154639175257714,0.21079046424090328,239900.0,-0.010721649484536131,0.1705293974140034,155.2812974936825,0.0016950425588335705,0.11683239516282605,156.46258503401359,0.0097052154195012,0.07483217524437635,24.0,-0.07692307692307686,-0.2,5.0,-0.5,-0.2857142857142857,31.0,0.06896551724137923,0.7222222222222222,13.0,0.30000000000000004,1.6,,,,21.0,1.5,0.0,1.0158485240516213,0.004995286166514346,0.02190463483460969,0.41666666666666663,-0.1602564102564102,0.08333333333333337,,,,0.0,-0.3,-0.2857142857142857,"Virginia Beach, VA",47260,2022-01-09 14:29:56
577500,2021-07-01,2021-09-30,90,neighborhood,1,63842,f,"Newport News, VA - Windsor Great Park",Newport News,Virginia,VA,Single Family Residential,6,276500.0,0.0737864077669903,0.15208333333333335,281450.0,0.023454545454545398,0.13740149525156586,156.37207019314158,0.0036888015810063735,0.13064085320720076,150.35733921294118,-0.011667866512424241,0.10727148762638117,30.0,0.25,0.034482758620689724,10.0,0.25,1.5,28.0,0.03703703703703697,0.75,9.0,-0.25,0.8,,,,19.0,3.0,-13.5,0.999106255103824,-0.01362615435402148,0.01774072908070634,0.5333333333333333,-0.09166666666666669,0.2919540229885057,,,,0.3,-0.07500000000000001,0.3,"Virginia Beach, VA",47260,2022-01-09 14:29:56
625493,2021-07-01,2021-09-30,90,neighborhood,1,63612,f,"Hampton, VA - Fox Hill",Hampton,Virginia,VA,Single Family Residential,6,274000.0,0.050814956855225406,0.15672823218997367,275000.0,0.03773584905660377,0.14631096290120893,153.3104007214937,-0.003608432326878464,0.18962782099725567,152.88220551378447,0.01075329834019012,0.13324401320632753,86.0,-0.0444444444444444,0.43333333333333335,18.0,-0.18181818181818174,0.0,67.0,-0.1728395061728395,0.0,24.0,0.0,-0.1724137931034483,,,,17.5,-1.5,-5.0,1.0174871383616653,-0.006321058715643035,0.016248327536860563,0.5116279069767442,-0.08837209302325577,0.0616279069767442,,,,0.3888888888888889,-0.24747474747474746,0.05555555555555558,"Virginia Beach, VA",47260,2022-01-09 14:29:56
630923,2021-07-01,2021-09-30,90,neighborhood,1,180510,f,"Chesapeake, VA - Pleasant Grove",Chesapeake,Virginia,VA,Single Family Residential,6,470000.0,-0.0015932023366967973,0.13400159001499534,450000.0,0.0,0.10294117647058833,185.38812785388126,0.016711579929542975,0.15875951758180085,187.4995,0.029233532219570483,0.14890997971014494,317.0,-0.13387978142076504,-0.08908045977011492,68.0,-0.4137931034482759,-0.1807228915662651,302.0,-0.09580838323353293,-0.05919003115264799,110.0,0.11111111111111116,-0.017857142857142905,,,,16.0,2.0,-8.0,1.0189137203718346,-0.006238683558234648,0.02018403247604683,0.6529968454258676,-0.03552774473806686,0.2593186845063273,,,,0.35294117647058826,-0.11257606490872207,0.06378454996456417,"Virginia Beach, VA",47260,2022-01-09 14:29:56
