,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
3631,2021-07-01,2021-09-30,90,zip code,2,8957,f,Zip Code: 22645,,Virginia,VA,Single Family Residential,6,524061.5,-0.00818717323933671,0.5083076701683695,504450.0,-0.04369668246445502,0.26278240190249713,185.29241284299087,0.02065237407680809,0.1702042863509301,179.7308067252976,0.021779870066833903,0.05237578526205611,22.0,0.10000000000000007,-0.2142857142857143,4.0,-0.6363636363636364,-0.5,20.0,-0.16666666666666666,-0.2857142857142857,7.0,-0.2222222222222222,-0.4615384615384616,,,,33.0,-3.0,-12.0,1.0057163024195732,-0.0031484713846861023,0.004841136059797303,0.4090909090909091,0.009090909090909092,0.051948051948051965,,,,0.25,-0.11363636363636365,-0.25,"Winchester, VA",49020,2022-01-09 14:29:56
91574,2021-07-01,2021-09-30,90,zip code,2,8920,f,Zip Code: 22554,,Virginia,VA,Single Family Residential,6,492800.0,-0.014301430143014325,0.10928531232414174,509950.0,0.02194388777555112,0.15924073653102974,168.36734693877554,-0.023831468071099367,0.1832669322709164,169.49685534591194,-0.0017630550995155758,0.14800791463500795,350.0,-0.125,0.15131578947368426,95.0,-0.15929203539823011,-0.030612244897959218,346.0,-0.11959287531806614,0.2958801498127341,135.0,-0.04929577464788737,0.7763157894736843,,,,16.0,6.0,-13.0,1.0199419856575334,-0.00857113730681003,0.016386372245949854,0.6142857142857143,-0.06571428571428573,0.18665413533834593,,,,0.4105263157894737,0.06539357242664184,-0.14049409237379154,"Washington, DC",47894,2022-01-09 14:29:56
94189,2021-07-01,2021-09-30,90,zip code,2,9337,f,Zip Code: 23457,,Virginia,VA,Single Family Residential,6,545000.0,0.004608294930875667,-0.0061663276386967345,625000.0,0.04611264540965765,0.10815602836879434,211.3636363636364,-0.007220463294080105,0.12336998871800865,222.26173541963016,0.05029648077201054,0.02181128496917961,23.0,0.04545454545454541,-0.1785714285714286,2.0,-0.6666666666666667,0.0,17.0,-0.29166666666666663,-0.10526315789473684,10.0,0.0,-0.2857142857142857,,,,35.5,15.5,-30.0,0.9934781948209156,-0.008702417253601658,0.017226191426972348,0.391304347826087,-0.06324110671936756,0.2841614906832298,,,,0.0,-0.5,-0.5,"Virginia Beach, VA",47260,2022-01-09 14:29:56
116365,2021-07-01,2021-09-30,90,zip code,2,7876,f,Zip Code: 20165,,Virginia,VA,Single Family Residential,6,768750.0,-0.02070063694267521,0.151685393258427,724900.0,-0.046184210526315835,0.11540236959532235,228.28742707214738,0.01182339471537852,0.06868929478166552,232.62872208436727,0.03179876138475591,0.09472339804408114,80.0,-0.2380952380952381,-0.13043478260869568,23.0,0.0,-0.2333333333333333,79.0,-0.14130434782608692,-0.048192771084337394,24.0,0.043478260869565195,0.26315789473684204,,,,13.0,6.0,-8.0,1.0197782411926846,-0.009133372468712595,0.013150689391169257,0.725,-0.017857142857142905,0.19239130434782606,,,,0.391304347826087,-0.08695652173913043,0.12463768115942032,"Washington, DC",47894,2022-01-09 14:29:56
119828,2021-07-01,2021-09-30,90,zip code,2,8730,f,Zip Code: 22025,,Virginia,VA,Single Family Residential,6,551000.0,-0.022182786157941448,0.14078674948240155,546500.0,-0.004553734061930825,0.15356200527704478,186.2803075103489,-0.04978599574919052,0.09762088886867136,185.79960185799598,0.0,0.10979011966698617,73.0,-0.2843137254901961,-0.08750000000000001,19.0,-0.17391304347826084,-0.4411764705882353,83.0,-0.06741573033707872,0.03750000000000009,29.0,0.15999999999999992,0.2608695652173913,,,,11.0,5.0,-18.0,1.0182818168716992,-0.011653291661177788,0.008927379096694832,0.589041095890411,-0.12664517861939295,0.0015410958904109595,,,,0.4736842105263158,0.16933638443935922,0.003095975232198123,"Washington, DC",47894,2022-01-09 14:29:56
166114,2021-07-01,2021-09-30,90,zip code,2,9354,f,Zip Code: 23487,,Virginia,VA,Single Family Residential,6,300000.0,-0.06976744186046513,-0.006992428317265875,249950.0,-0.03680154142581892,-0.16683333333333328,159.9488163787588,-0.01585457277665725,0.123753118675046,151.82153579731016,-0.02007209707154389,0.06989179197817452,25.0,0.25,0.25,5.0,-0.4444444444444444,0.25,18.0,-0.09999999999999996,-0.1428571428571429,4.0,-0.5555555555555556,-0.75,,,,12.0,-2.0,-18.5,0.9833253505360816,-0.004945750522005078,-0.0030789501041921237,0.28,-0.01999999999999996,0.08000000000000002,,,,0.0,-0.3333333333333333,-0.25,"Virginia Beach, VA",47260,2022-01-09 14:29:56
177476,2021-07-01,2021-09-30,90,zip code,2,7888,f,Zip Code: 20180,,Virginia,VA,Single Family Residential,6,622500.0,0.0040322580645162365,0.03836530442035024,599950.0,0.0015859766277128704,0.03457492671150208,203.2954151131689,0.09466761984014038,0.2133025329482177,211.46592934782768,0.001964021600798116,0.09789882073407008,50.0,0.0,-0.09090909090909093,11.0,-0.5,0.0,59.0,-0.09230769230769233,0.5945945945945945,26.0,0.13043478260869554,0.08333333333333326,,,,26.0,0.0,-19.0,1.011874581808113,-0.00734529417232177,-0.0015720212394738642,0.56,0.0,0.16000000000000006,,,,0.3636363636363637,0.0,0.09090909090909093,"Washington, DC",47894,2022-01-09 14:29:56
180009,2021-07-01,2021-09-30,90,zip code,2,9163,f,Zip Code: 23124,,Virginia,VA,Single Family Residential,6,352050.0,0.02006519377037308,0.3311277058323092,350000.0,0.02956317105456674,0.15511551155115513,166.1478272935459,0.0028965698094516323,-0.02269179327236004,171.47117296222663,0.008299102205383546,0.1565398817860546,42.0,-0.125,1.3333333333333337,7.0,-0.3636363636363637,0.75,36.0,0.2,0.16129032258064524,19.0,0.3571428571428572,-0.525,,,,8.5,1.5,-80.5,1.009738523574125,-0.0028030166080019736,-0.003602412950345135,0.42857142857142855,-0.09226190476190481,0.37301587301587297,,,,0.8571428571428571,0.3116883116883117,0.6071428571428571,"Richmond, VA",40060,2022-01-09 14:29:56
188157,2021-07-01,2021-09-30,90,zip code,2,7850,f,Zip Code: 20132,,Virginia,VA,Single Family Residential,6,740000.0,-0.013333333333333308,0.15987460815047028,749000.0,0.07153075822603716,0.1721439749608764,206.7120622568093,-0.08418512811890366,0.0982411823773064,226.42098688319803,0.12432169518028567,0.20580691449690566,79.0,-0.1123595505617978,-0.2254901960784313,22.0,-0.15384615384615385,-0.4358974358974359,81.0,-0.13829787234042554,-0.11956521739130432,38.0,0.1875,-0.2962962962962963,,,,26.5,6.0,-6.0,1.028240634898084,-0.003513017457041689,0.0269893610443519,0.5949367088607594,-0.023040819229128155,0.18317200297840647,,,,0.5454545454545454,0.2377622377622377,0.16083916083916078,"Washington, DC",47894,2022-01-09 14:29:56
192537,2021-07-01,2021-09-30,90,zip code,2,8795,f,Zip Code: 22193,,Virginia,VA,Single Family Residential,6,450000.0,0.0,0.09756097560975617,449950.0,0.02145289443813847,0.1540138497050525,213.7279079325935,-0.0028315000763464715,0.17744647461046958,208.10210876803555,-0.014708558186104281,0.08926589503726022,279.0,-0.007117437722419906,0.14814814814814814,82.0,-0.14583333333333334,0.32258064516129026,288.0,-0.06493506493506496,0.23605150214592285,87.0,0.0,0.3384615384615384,,,,17.0,8.0,-4.0,1.02220230413977,-0.007929875864114422,0.009869560135709499,0.6666666666666666,-0.03084223013048637,0.10288065843621397,,,,0.451219512195122,0.013719512195121963,-0.09716758457907154,"Washington, DC",47894,2022-01-09 14:29:56
