,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
6803,2021-07-01,2021-07-31,30,county,5,3002,f,"Orange County, VA",,Virginia,VA,Single Family Residential,6,356000.0,0.0,0.25131810193321624,325000.0,-0.07116318948270939,0.1276891047883415,173.7994350282486,-0.036128780325689676,0.1818361581920904,170.22703818369453,-0.03535575725596474,0.13512371315663627,91.0,0.011111111111111072,0.08333333333333326,82.0,0.012345679012345734,0.15492957746478875,111.0,0.06730769230769229,0.2613636363636365,153.0,0.125,-0.08383233532934131,1.7,0.2,-0.30000000000000004,31.0,8.0,-20.0,1.0134391804567702,-0.005112701101727568,0.020073685128512157,0.4945054945054945,-0.0388278388278388,0.18498168498168496,0.16993464052287582,0.044934640522875824,-0.003718054087902628,0.41463414634146334,0.0072267389340560095,0.0906904843696324,Virginia nonmetropolitan area,,2022-01-09 14:29:56
16181,2021-07-01,2021-07-31,30,county,5,3042,f,"Fairfax City County, VA",,Virginia,VA,Single Family Residential,6,842500.0,0.2344322344322345,0.22189992748368392,599000.0,-0.14428571428571424,0.10946471568809037,270.0359653828778,-0.05829570373346037,0.14475541519017,278.8844621513944,-0.02157568789637709,0.02227156945986541,24.0,-0.1428571428571429,0.09090909090909081,22.0,-0.2142857142857143,-0.2142857142857143,27.0,-0.2285714285714285,-0.15625,37.0,0.15625,0.3703703703703705,1.5,0.3999999999999999,0.30000000000000004,9.0,0.0,-17.0,1.0220345587793127,-0.012966435857830305,0.0054315406435450075,0.6666666666666666,-0.011904761904761972,0.16666666666666666,0.35135135135135137,0.16385135135135134,0.1661661661661662,0.5454545454545454,-0.061688311688311674,-0.061688311688311674,"Washington, DC",47894.0,2022-01-09 14:29:56
18476,2021-07-01,2021-07-31,30,county,5,2965,f,"Fairfax County, VA",,Virginia,VA,Single Family Residential,6,800000.0,-0.041916167664670656,0.05401844532279321,589900.0,-0.04081300813008126,0.025913043478260844,299.4791666666667,-0.016988555078683798,0.09776297814207656,297.75603232578874,-0.0020724490223887893,0.058011945519663925,1023.0,-0.15244407622203815,0.010869565217391351,820.0,-0.2107795957651588,-0.0060606060606061,1054.0,-0.13888888888888884,0.09677419354838701,1288.0,0.18056828597616856,0.02629482071713141,1.3,0.4,0.10000000000000007,11.0,4.0,-17.0,1.0222111376183167,-0.016522594143324017,0.01791469280948066,0.6089931573802542,-0.08860419141842024,0.15543584512728975,0.26009316770186336,0.006197658994255673,0.0481409764668036,0.4487804878048781,-0.13832249583323547,-0.03485587583148558,"Washington, DC",47894.0,2022-01-09 14:29:56
28014,2021-07-01,2021-07-31,30,county,5,3055,f,"Newport News, VA",,Virginia,VA,Single Family Residential,6,250000.0,0.0,0.04166666666666674,230000.0,0.00043497172683770735,0.0,150.88757396449702,-0.023745703446875988,0.12243026309781092,144.64802314368367,-0.008741219418557877,0.06530107437506727,241.0,-0.0622568093385214,0.004166666666666653,233.0,-0.05668016194331981,0.22631578947368425,283.0,-0.030821917808219187,0.4292929292929293,333.0,0.13651877133105805,0.3214285714285714,1.4,0.2999999999999998,0.2999999999999998,19.0,2.0,-9.0,1.0210991635517177,0.006863890072386082,0.022426790430637555,0.6224066390041494,0.0582043043737992,0.2765733056708161,0.19219219219219216,0.07273826727751641,0.05727155727155728,0.4334763948497854,-0.06045073065628748,0.09137113169189064,"Virginia Beach, VA",47260.0,2022-01-09 14:29:56
32101,2021-07-01,2021-07-31,30,county,5,2978,f,"Hanover County, VA",,Virginia,VA,Single Family Residential,6,417975.0,0.017589774802191146,0.17408707865168546,350000.0,0.00028579594169753086,0.013924074468377956,171.30862007804188,0.003688840963572471,0.1668246262555908,165.17857142857142,-0.010559611481153251,0.04168200846393799,198.0,0.058823529411764726,-0.034146341463414664,167.0,-0.034682080924855474,0.0121212121212122,172.0,-0.07526881720430112,-0.2286995515695067,156.0,-0.054545454545454564,-0.4545454545454546,0.8,-0.09999999999999996,-0.5999999999999999,10.0,2.0,-10.0,1.0260624104480427,-0.010975998592871685,0.026328827063156975,0.5858585858585857,-0.08793820558526444,0.2200049273220005,0.3269230769230769,0.04813519813519812,0.06468531468531469,0.6526946107784432,-0.012045273614620378,0.004209762293594709,"Richmond, VA",40060.0,2022-01-09 14:29:56
42807,2021-07-01,2021-07-31,30,county,5,3003,f,"Page County, VA",,Virginia,VA,Single Family Residential,6,255000.0,0.15646258503401356,0.2756378189094548,219900.0,-0.02223210315695867,-0.0640561821664184,122.65512265512264,-0.07535471594872967,-0.003427128427128445,150.53071436175875,0.15542494266863496,0.10819271140309428,29.0,-0.06451612903225812,-0.09375,23.0,-0.04166666666666663,-0.04166666666666663,35.0,0.06060606060606055,0.25,69.0,0.13114754098360648,-0.3365384615384616,2.4,0.3999999999999999,-0.8999999999999998,47.0,8.0,-15.0,1.0332509801980103,0.06411536747729496,0.04104961602907176,0.4827586206896552,0.19243604004449388,0.2015086206896552,0.07246376811594203,-0.04229033024471371,0.03400222965440357,0.043478260869565216,-0.2065217391304348,-0.16485507246376813,Virginia nonmetropolitan area,,2022-01-09 14:29:56
51020,2021-07-01,2021-07-31,30,county,5,3022,f,"Stafford County, VA",,Virginia,VA,Single Family Residential,6,465500.0,-0.029197080291970767,0.09555189456342661,449900.0,0.02249999999999996,0.21627466882941326,177.45520608423837,0.014957215286680368,0.2382604424550612,173.09044979672618,-0.011784103875605469,0.1481665499951863,290.0,-0.1944444444444444,0.07011070110701101,281.0,-0.0174825174825175,0.405,357.0,0.09846153846153836,0.6451612903225808,337.0,0.2435424354243543,0.2527881040892193,1.2,0.3999999999999999,0.2,13.0,6.0,-17.0,1.0260501301296092,-0.0044068574891316095,0.025070795438007387,0.6724137931034482,0.00019157088122601085,0.2997200661661789,0.2670623145400593,-0.0060004160872469394,0.1034935413058586,0.5658362989323843,-0.0390588059627206,0.0658362989323843,"Washington, DC",47894.0,2022-01-09 14:29:56
78325,2021-07-01,2021-07-31,30,county,5,3026,f,"Warren County, VA",,Virginia,VA,Single Family Residential,6,328125.0,-0.03492647058823528,0.19318181818181807,305000.0,-0.06998017990547345,0.15094339622641506,173.94061354798444,-0.0002523935040804614,0.2303780488840215,171.07618613138686,-0.05484732519784119,0.09737597213005976,74.0,-0.2525252525252525,-0.2525252525252525,79.0,0.06756756756756754,0.0,96.0,0.05494505494505497,-0.058823529411764726,164.0,0.05128205128205132,-0.19607843137254896,2.2,0.6000000000000001,0.10000000000000007,36.0,1.0,-24.0,1.0138557623153046,0.0045972730371095505,0.01776509451894459,0.5540540540540541,0.09950859950859953,0.2409227409227409,0.16463414634146342,0.04924953095684803,0.002869440459110473,0.27848101265822783,-0.0053027711255559384,-0.13924050632911394,"Washington, DC",47894.0,2022-01-09 14:29:56
95446,2021-07-01,2021-07-31,30,county,5,2982,f,"Isle of Wight County, VA",,Virginia,VA,Single Family Residential,6,400000.0,-0.012345679012345734,0.16194625998547574,333230.0,-0.0992566563049061,0.009940900136384379,155.15659775026145,-0.009638737764288694,0.1514252780414138,161.24119050805118,0.0008448075146458844,0.1002144649487624,54.0,-0.16923076923076918,-0.15625,55.0,-0.035087719298245605,-0.05172413793103448,68.0,0.1929824561403508,-0.04225352112676062,85.0,0.10389610389610393,-0.3971631205673759,1.6,0.4000000000000001,-0.6000000000000001,22.0,1.0,-18.0,1.0147174620319654,0.006801632617391418,0.039255781643333536,0.5555555555555556,0.06324786324786325,0.2743055555555556,0.16470588235294115,-0.004125286478227658,-0.005506883604505629,0.41818181818181815,0.06730462519936203,0.07335423197492158,"Virginia Beach, VA",47260.0,2022-01-09 14:29:56
105696,2021-07-01,2021-07-31,30,county,5,2966,f,"Fauquier County, VA",,Virginia,VA,Single Family Residential,6,530000.0,0.031630170316301776,0.060212042408481777,485000.0,-0.030000000000000027,0.07777777777777772,212.47240618101543,0.04444267134764224,0.17586702683861974,206.8672411324031,0.011226565392347563,0.15031274330918,136.0,-0.06849315068493156,-0.15527950310559002,134.0,0.07200000000000006,0.2641509433962264,131.0,-0.191358024691358,0.1293103448275863,189.0,-0.059701492537313376,-0.19574468085106375,1.4,0.0,-0.10000000000000007,31.0,12.0,-11.0,1.0055769305542568,-0.009968500204955877,0.013896803029040394,0.5147058823529411,-0.07433521353746984,0.2165692363902082,0.2275132275132275,0.0583589986575061,0.02325790836429134,0.34328358208955223,-0.13671641791044775,0.060264714165023936,"Washington, DC",47894.0,2022-01-09 14:29:56
